index;Comunidades y Ciudades Autónomas;Año;Total
1;Andalucía;2021;18906
2;Aragón;2021;28912
3;Principado de Asturias;2021;23235
4;Illes Balears;2021;24866
5;Canarias;2021;18990
6;Cantabria;2021;23730
7;Castilla y León;2021;24428
8;Castilla - La Mancha;2021;20655
9;Cataluña;2021;29942
10;Comunitat Valenciana;2021;22289
11;Extremadura;2021;19072
12;Galicia;2021;23499
13;Comunidad de Madrid;2021;34821
14;Región de Murcia;2021;21236
15;Comunidad Foral de Navarra;2021;31024
16;País Vasco;2021;32925
17;La Rioja;2021;27279
0;Total Nacional;2021;28280
18;Ceuta;2021;21244
19;Melilla;2021;19266